VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
7PDSGBBA4S,Island,Oak Harbor,WA,98277,2025,RIVIAN,R1S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,10,273368532,POINT (-122.64682 48.29077),PUGET SOUND ENERGY INC,53029970300
JHMZC5F3XJ,Kitsap,Poulsbo,WA,98370,2018,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,47,0,23,475007977,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035090502
KNDCE3LGXL,Kitsap,Poulsbo,WA,98370,2020,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,23,179170078,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035090201
1FADP3R4XG,King,Shoreline,WA,98133,2016,FORD,FOCUS,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,76,0,32,226152,POINT (-122.35029 47.71871),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033020301
5YJSA1E25G,King,Seattle,WA,98121,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,36,348429084,POINT (-122.34468 47.61578),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033008002
5YJSA1E23H,Thurston,Olympia,WA,98506,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,22,260720386,POINT (-122.87741 47.05997),PUGET SOUND ENERGY INC,53067010200
KM8K53AG7L,Snohomish,Lake Stevens,WA,98258,2020,HYUNDAI,KONA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,258,0,44,249980538,POINT (-122.06402 48.01497),PUGET SOUND ENERGY INC,53061052607
5YJSA1H26F,Clark,Vancouver,WA,98684,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,0,17,6743691,POINT (-122.48723 45.63701),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041319
KNDCM3LD0J,Thurston,Olympia,WA,98501,2018,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,0,22,198488951,POINT (-122.89165 47.03954),PUGET SOUND ENERGY INC,53067011721
5YJYGDEE9M,Snohomish,Bothell,WA,98021,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1,153892070,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051937
